concept_id,code,source,datatype
2149,2149,local,N/A
2150,2150,local,N/A
2151,2151,local,N/A
2152,2152,local,N/A
2153,2153,local,N/A
2154,2154,local,Coded
2154,159911,MCL/CIEL,Coded
2155,2155,local,Coded
2156,2156,local,N/A
2157,159910,MCL/CIEL,Coded
2157,2157,local,Coded
2158,2158,local,Coded
2159,2159,local,N/A
2160,2160,local,N/A
2161,159909,MCL/CIEL,Coded
2161,2161,local,Coded
2162,2162,local,Numeric
2163,2163,local,Numeric
2164,2164,local,N/A
2165,2165,local,Coded
2165,159908,MCL/CIEL,Coded
2166,2166,local,N/A
2166,118159,MCL/CIEL,N/A
2167,118159,MCL/CIEL,N/A
2167,2167,local,N/A
2168,2168,local,N/A
2169,2169,local,Coded
2170,163460,MCL/CIEL,Numeric
2170,2170,local,Numeric
2171,2171,local,Numeric
2171,159907,MCL/CIEL,Numeric
2172,159906,MCL/CIEL,Numeric
2172,2172,local,Numeric
2173,2173,local,Coded
2174,2174,local,Coded
2175,2175,local,Coded
2176,2176,local,N/A
2177,164163,MCL/CIEL,Coded
2177,2177,local,Coded
2178,2178,local,N/A
2179,159894,MCL/CIEL,N/A
2179,2179,local,N/A
2180,2180,local,Coded
2180,159892,MCL/CIEL,Coded
2181,2181,local,Coded
2182,2182,local,N/A
2183,159891,MCL/CIEL,Coded
2183,2183,local,Coded
2184,159890,MCL/CIEL,N/A
2184,2184,local,N/A
2185,150915,MCL/CIEL,N/A
2185,2185,local,N/A
2186,2186,local,N/A
2186,159889,MCL/CIEL,N/A
2187,2187,local,Coded
2188,159888,MCL/CIEL,Coded
2188,2188,local,Coded
2189,2189,local,Coded
2189,159768,MCL/CIEL,Coded
2190,2190,local,N/A
2190,159887,MCL/CIEL,N/A
2191,159886,MCL/CIEL,N/A
2191,2191,local,N/A
2192,2192,local,N/A
2193,159885,MCL/CIEL,N/A
2193,2193,local,N/A
2194,159884,MCL/CIEL,N/A
2194,2194,local,N/A
2195,159883,MCL/CIEL,N/A
2195,2195,local,N/A
2196,2196,local,Coded
2196,159882,MCL/CIEL,Coded
2197,2197,local,N/A
2198,5576,MCL/CIEL,Coded
2198,2198,local,Coded
2199,159881,MCL/CIEL,Coded
2199,2199,local,Coded
2200,2200,local,Coded
2200,159880,MCL/CIEL,Coded
2201,2201,local,Coded
2201,1910,MCL/CIEL,Coded
2202,2202,local,N/A
2203,2203,local,N/A
2204,2204,local,N/A
2205,2205,local,N/A
2206,2206,local,Coded
2207,2207,local,N/A
2208,2208,local,Coded
2208,5585,MCL/CIEL,Coded
2210,159344,MCL/CIEL,N/A
2210,2210,local,N/A
2211,2211,local,N/A
2212,2212,local,N/A
2213,111953,MCL/CIEL,N/A
2213,2213,local,N/A
2214,2214,local,N/A
2215,2215,local,N/A
2216,2216,local,N/A
2217,2217,local,N/A
2218,2218,local,N/A
2219,162181,MCL/CIEL,N/A
2219,2219,local,N/A
2220,139223,MCL/CIEL,N/A
2221,2221,local,N/A
2222,2222,local,N/A
2223,2223,local,Coded
2224,5042,MCL/CIEL,N/A
2224,2224,local,N/A
2225,2225,local,Coded
2225,160040,MCL/CIEL,Coded
2226,2226,local,N/A
2227,2227,local,N/A
2228,2228,local,N/A
2229,2229,local,N/A
2230,2230,local,N/A
2231,2231,local,N/A
2231,159851,MCL/CIEL,N/A
2232,159878,MCL/CIEL,N/A
2232,2232,local,N/A
2233,159877,MCL/CIEL,N/A
2233,2233,local,N/A
2234,2234,local,N/A
2234,159876,MCL/CIEL,N/A
2235,159875,MCL/CIEL,N/A
2235,2235,local,N/A
2236,159874,MCL/CIEL,N/A
2236,2236,local,N/A
2237,159873,MCL/CIEL,N/A
2237,2237,local,N/A
2238,2238,local,N/A
2238,159872,MCL/CIEL,N/A
2239,2239,local,Coded
2239,159871,MCL/CIEL,Coded
2240,162050,MCL/CIEL,N/A
2240,2240,local,N/A
2241,161359,MCL/CIEL,N/A
2241,2241,local,N/A
2242,1725,MCL/CIEL,N/A
2242,2242,local,N/A
2243,2243,local,N/A
2244,2244,local,Coded
2245,2245,local,Coded
2246,2246,local,N/A
2247,2247,local,Coded
2248,2248,local,N/A
2249,2249,local,N/A
2250,2250,local,Coded
2251,1447,MCL/CIEL,N/A
2251,2251,local,N/A
2252,71184,MCL/CIEL,N/A
2252,2252,local,N/A
2253,2253,local,N/A
2254,159459,MCL/CIEL,N/A
2254,2254,local,N/A
2255,2255,local,N/A
2256,78070,MCL/CIEL,N/A
2256,2256,local,N/A
2257,77071,MCL/CIEL,N/A
2257,2257,local,N/A
2258,2258,local,N/A
2258,77029,MCL/CIEL,N/A
